trade_date,market_view,denominator,eligible_count,minimum_required,gate_pass
2018-05-29,ALL_A,NON_ST,2966,1000,True
2018-05-29,CHINEXT_BOARD,ALL_STATUS,647,200,True
2018-05-29,CHINEXT_BOARD,NON_ST,647,200,True
2018-05-29,SH_A,ALL_STATUS,1165,400,True
2018-05-29,SH_A,NON_ST,1137,400,True
2018-05-29,SZ_A,ALL_STATUS,1851,400,True
2018-05-29,SZ_A,NON_ST,1829,400,True
2018-05-30,ALL_A,ALL_STATUS,3008,1000,True
2018-05-30,ALL_A,NON_ST,2958,1000,True
2018-05-30,CHINEXT_BOARD,ALL_STATUS,646,200,True
2018-05-30,CHINEXT_BOARD,NON_ST,646,200,True
2018-05-30,SH_A,ALL_STATUS,1161,400,True
2018-05-30,SH_A,NON_ST,1133,400,True
2018-05-30,SZ_A,ALL_STATUS,1847,400,True
2018-05-30,SZ_A,NON_ST,1825,400,True
2018-05-31,ALL_A,ALL_STATUS,3003,1000,True
2018-05-31,ALL_A,NON_ST,2953,1000,True
2018-05-31,CHINEXT_BOARD,ALL_STATUS,648,200,True
2018-05-31,CHINEXT_BOARD,NON_ST,648,200,True
2018-05-31,SH_A,ALL_STATUS,1156,400,True
2018-05-31,SH_A,NON_ST,1128,400,True
2018-05-31,SZ_A,ALL_STATUS,1847,400,True
2018-05-31,SZ_A,NON_ST,1825,400,True
2018-06-01,ALL_A,ALL_STATUS,2999,1000,True
2018-06-01,ALL_A,NON_ST,2949,1000,True
2018-06-01,CHINEXT_BOARD,ALL_STATUS,648,200,True
2018-06-01,CHINEXT_BOARD,NON_ST,648,200,True
2018-06-01,SH_A,ALL_STATUS,1149,400,True
2018-06-01,SH_A,NON_ST,1121,400,True
